id,term,category,definition,examples,related_terms
tasa-dependencia,Tasa de Dependencia (Índice de Dependencia),indicator,Relación entre la población dependiente (menores de 15 años y mayores de 65 años) y la población en edad de trabajar (15-64 años). Se expresa como el número de dependientes por cada 100 personas en edad productiva.,Una tasa de 50 significa 50 dependientes por cada 100 trabajadores | Valores menores a 60 indican oportunidad de bono demográfico | Valores mayores a 70 indican alta carga de dependencia,"bono-demografico, poblacion-activa"
indice-envejecimiento,Índice de Envejecimiento,indicator,"Relación entre la población mayor (65+ años) y la población infantil (0-14 años), multiplicado por 100. Indica el nivel de envejecimiento de la población.",Valor de 100: igual número de niños y adultos mayores | Menor a 100: población joven (más niños que adultos mayores) | Mayor a 100: población envejecida (más adultos mayores que niños),"transicion-demografica, poblacion-mayor"
tgf,TGF (Tasa Global de Fecundidad),indicator,Número promedio de hijos que tendría una mujer durante su vida reproductiva (15-49 años) si se mantuvieran las tasas de fecundidad actuales. Es un indicador clave del cambio demográfico.,TGF = 2.1 es el nivel de reemplazo poblacional | TGF < 2.1 indica población que eventualmente decrecerá | TGF > 3.0 indica alta fecundidad,"tasa-natalidad, cambio-demografico"
esperanza-vida,Esperanza de Vida,indicator,"Número promedio de años que se espera que viva una persona desde su nacimiento, basado en las tasas de mortalidad actuales.",Esperanza de vida al nacer en Colombia: ~77 años | Varía por sexo: mujeres generalmente viven más que hombres | Aumenta con el desarrollo socioeconómico,"tasa-mortalidad, tabla-vida"
tasa-mortalidad,Tasa de Mortalidad,indicator,"Proporción de personas que fallecen en un período determinado. Puede ser específica por edad, sexo o causa de muerte.","Tasa bruta de mortalidad: muertes por cada 1,000 habitantes | Tasa de mortalidad infantil: muertes de menores de 1 año | Tasas específicas por edad: probabilidad de muerte a cada edad (qx)","esperanza-vida, tabla-mortalidad"
tasa-natalidad,Tasa de Natalidad,indicator,"Número de nacimientos por cada 1,000 habitantes en un año determinado.","Colombia 2025: aproximadamente 15-17 nacimientos por 1,000 habitantes | Ha disminuido en las últimas décadas debido a la transición demográfica","tgf, crecimiento-poblacional"
tasa-migracion,Tasa de Migración,indicator,"Diferencia entre inmigración y emigración, expresada como el saldo migratorio neto por cada 1,000 habitantes.",Migración neta positiva: más personas entran que salen | Migración neta negativa: más personas salen que entran | Afecta el crecimiento poblacional junto con natalidad y mortalidad,crecimiento-poblacional
crecimiento-poblacional,Tasa de Crecimiento Poblacional,indicator,"Variación porcentual de la población en un período determinado. Resulta de la diferencia entre nacimientos, defunciones y migración neta.",Colombia: aproximadamente 1.0% - 1.5% anual | TCAA (Tasa de Crecimiento Anual Promedio): promedio geométrico del crecimiento,"tasa-natalidad, tasa-mortalidad, tasa-migracion"
relacion-masculinidad,Relación de Masculinidad (Sex Ratio),indicator,Número de hombres por cada 100 mujeres en la población. Indica el equilibrio de género en la población.,Valor de 100: igual número de hombres y mujeres | Colombia: típicamente 95-98 (más mujeres que hombres) | Al nacer suele ser ~105 (más nacimientos masculinos),
bono-demografico,Bono Demográfico (Dividendo Demográfico),concept,"Período favorable en que la proporción de población en edad de trabajar (15-64 años) es mayor que la población dependiente, creando una ventana de oportunidad económica.",Ocurre cuando la tasa de dependencia es menor a 60 | Resultado de la transición demográfica: menor natalidad pero población aún joven | Oportunidad para invertir en desarrollo económico y capital humano,"tasa-dependencia, transicion-demografica, poblacion-activa"
transicion-demografica,Transición Demográfica,concept,"Proceso de cambio de una población de altas tasas de natalidad y mortalidad a bajas tasas de ambas, pasando por etapas intermedias de crecimiento poblacional.",Etapa 1: Alta natalidad y mortalidad (crecimiento lento) | Etapa 2: Baja mortalidad pero alta natalidad (crecimiento rápido) | Etapa 3: Baja mortalidad y natalidad (crecimiento lento) | Colombia está en etapa avanzada de transición,"bono-demografico, indice-envejecimiento"
piramide-poblacional,Pirámide Poblacional,concept,"Representación gráfica de la distribución de la población por edad y sexo, mostrando hombres a la izquierda y mujeres a la derecha.",Pirámide expansiva: base ancha (población joven) | Pirámide constrictiva: base estrecha (población envejecida) | Pirámide estacionaria: lados rectos (población estable),estructura-edad
poblacion-juvenil,Población Juvenil (Menor),concept,Población menor de 15 años. También llamada población infantil o en edad no productiva.,Incluye edades 0-14 años | Parte de la población dependiente | Requiere inversión en educación y salud,"tasa-dependencia, estructura-edad"
poblacion-activa,Población Activa (Productiva),concept,"Población entre 15 y 64 años, considerada en edad de trabajar. Es la base del dividendo demográfico.",Incluye edades 15-64 años | Población potencialmente económicamente activa | Sostiene a la población dependiente,"bono-demografico, tasa-dependencia"
poblacion-mayor,Población Mayor (Adulta Mayor),concept,Población de 65 años o más. Considerada población dependiente que requiere atención en salud y pensiones.,Incluye edades 65+ años | Población en retiro | Su proporción aumenta con el envejecimiento poblacional,"indice-envejecimiento, tasa-dependencia"
estructura-edad,Estructura por Edad,concept,Distribución de la población según grupos de edad. Muestra la composición etaria de la población.,"Tres grandes grupos: 0-14, 15-64, 65+ | Grupos quinquenales: 0-4, 5-9, 10-14, etc. | Se visualiza mediante pirámides poblacionales",piramide-poblacional
tabla-vida,Tabla de Vida (Life Table),concept,"Herramienta estadística que muestra la probabilidad de supervivencia a cada edad, basada en las tasas de mortalidad observadas.",Muestra esperanza de vida a cada edad | Incluye probabilidad de muerte (qx) por edad | Base para cálculos actuariales y de seguros,"esperanza-vida, tasa-mortalidad"
tabla-mortalidad,Tabla de Mortalidad,concept,"Similar a la tabla de vida, muestra las tasas de mortalidad específicas por edad y permite calcular indicadores de supervivencia.",qx: probabilidad de morir entre edad x y x+1 | lx: número de sobrevivientes a edad x | ex: esperanza de vida a edad x,"tabla-vida, esperanza-vida"
