table_name,indicator_category,indicator_name,indicator_code,description,unit,data_type,temporal_coverage,geographic_level,source,age_disaggregation,sex_disaggregation,notes
dane_fertility_indicators,Fecundidad,TGF (Tasa Global de Fecundidad),tgf,Número promedio de hijos que tendría una mujer durante su vida reproductiva (15-49 años),Hijos por mujer,Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-Fec-EstNal-Reg-2018-2070_VP.xlsx,No,No,TGF = 2.1 es el nivel de reemplazo poblacional
dane_fertility_indicators,Fecundidad,Tasas de Fecundidad por Edad,age_rates,Tasas específicas de fecundidad por cada año de edad (10-49 años),Tasa (nacimientos/mujeres),JSON (dict edad->tasa),2018-2070,Región DANE (23 regiones),DANE - DCD-Fec-EstNal-Reg-2018-2070_VP.xlsx,Sí (edades 10-49),No (solo mujeres),Incluye edades individuales de 10 a 49 años
dane_migration_indicators,Migración,Saldo Neto Migratorio Internacional,age_values (Internacional),Balance entre inmigración y emigración internacional por edad,Personas,JSON (dict edad->valor),2018-2070,Región DANE (23 regiones),DANE - DCD-Mig-EstSexNal-Reg-2018-2070_VP.xlsx,Sí (edades 0-100),Sí (Hombres/Mujeres),"Valores positivos = más inmigración, negativos = más emigración"
dane_migration_indicators,Migración,Saldo Neto Migratorio Interno,age_values (Interna),Balance de migración interna (entre regiones) por edad,Personas,JSON (dict edad->valor),2018-2070,Región DANE (23 regiones),DANE - DCD-Mig-EstSexNal-Reg-2018-2070_VP.xlsx,Sí (edades 0-100),Sí (Hombres/Mujeres),Migración dentro del país entre regiones
dane_mortality_indicators,Mortalidad,Probabilidad de Muerte por Edad (qx),age_mortality_rates,Probabilidad de morir entre la edad x y x+1 años,Probabilidad (0-1),JSON (dict edad->tasa),2018-2070,Región DANE (23 regiones),DANE - DCD-Mor-EstSexNal-Reg-2018-2070_VP.xlsx,Sí (edades 0-100),Sí (Hombres/Mujeres),Base para tablas de vida y cálculo de esperanza de vida
dane_principal_indicators,Indicadores Principales,Esperanza de Vida al Nacer - Hombres,life_exp_male,Años promedio de vida esperados al nacer para hombres,Años,Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-camDemNac-2018-2070_VP.xlsx,No,Sí (solo hombres),Indicador clave de desarrollo humano
dane_principal_indicators,Indicadores Principales,Esperanza de Vida al Nacer - Mujeres,life_exp_female,Años promedio de vida esperados al nacer para mujeres,Años,Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-camDemNac-2018-2070_VP.xlsx,No,Sí (solo mujeres),Generalmente mayor que la de hombres
dane_principal_indicators,Indicadores Principales,Esperanza de Vida al Nacer - Total,life_exp_total,Años promedio de vida esperados al nacer para la población total,Años,Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-camDemNac-2018-2070_VP.xlsx,No,No (ambos sexos),Promedio ponderado de ambos sexos
dane_principal_indicators,Indicadores Principales,Tasa de Mortalidad Infantil,infant_mortality_rate,"Defunciones de menores de 1 año por cada 1,000 nacidos vivos","Por 1,000 nacidos vivos",Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-camDemNac-2018-2070_VP.xlsx,No,No,Indicador clave de salud pública
dane_growth_indicators,Crecimiento Poblacional,Población Total,total_population,Población total proyectada para el año,Personas,Integer,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-crecPobNac-2018-2070_VP.xlsx,No,No,Proyección basada en Censo 2018
dane_growth_indicators,Crecimiento Poblacional,Tasa de Crecimiento Poblacional,growth_rate,Variación porcentual de la población respecto al año anterior,Porcentaje (%),Decimal,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-crecPobNac-2018-2070_VP.xlsx,No,No,Incluye componentes vegetativo y migratorio
dane_growth_indicators,Crecimiento Poblacional,Crecimiento Natural,natural_increase,Diferencia entre nacimientos y defunciones,Personas,Integer,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-crecPobNac-2018-2070_VP.xlsx,No,No,Componente vegetativo del crecimiento
dane_growth_indicators,Crecimiento Poblacional,Saldo Migratorio Neto,net_migration,Diferencia entre inmigrantes y emigrantes,Personas,Integer,2018-2070,Región DANE (23 regiones),DANE - DCD-PrinInd-crecPobNac-2018-2070_VP.xlsx,No,No,Componente migratorio del crecimiento
